Unnamed: 0,subj1,subj2,expected-consistency,observed-consistency,cohens-kappa,condition
257,age4-,age5-,0.8669387755102042,0.8571428571428571,-0.07361963190184051,13-15 vs. Adults
258,age4-,age5-,0.8669387755102042,0.8571428571428571,-0.07361963190184051,13-15 vs. Adults
259,age4-,age5-,0.7959183673469388,0.7714285714285715,-0.1199999999999998,13-15 vs. Adults
292,age4-,vgg19-,0.9142857142857144,0.9142857142857144,0.0,13-15 vs. DNNs
293,age4-,BiTM_resnetv2_152x2-,0.9142857142857144,0.9142857142857144,0.0,13-15 vs. DNNs
300,age4-,ResNeXt101_32x16d_swsl-,0.9142857142857144,0.9142857142857144,0.0,13-15 vs. DNNs
305,age4-,resnext101_32x8d-,0.9142857142857144,0.9142857142857144,0.0,13-15 vs. DNNs
309,age4-,swag_regnety_128gf_in1k-,0.9142857142857144,0.9142857142857144,0.0,13-15 vs. DNNs
314,age4-,age4-,0.92,0.92,0.0,13-15 vs. 13-15
315,age4-,age2-,0.7520000000000001,0.88,0.5161290322580643,7-9 vs. 13-15
316,age4-,age2-,0.6848,0.8,0.3654822335025383,7-9 vs. 13-15
317,age4-,age1-,0.7184,0.76,0.14772727272727265,4-6 vs. 13-15
318,age4-,age2-,0.7184,0.84,0.4318181818181817,7-9 vs. 13-15
319,age4-,age2-,0.8528,0.84,-0.08695652173913067,7-9 vs. 13-15
320,age4-,age3-,0.8528,1.0,1.0,10-12 vs. 13-15
321,age4-,age3-,0.7520000000000001,0.88,0.5161290322580643,10-12 vs. 13-15
322,age4-,age1-,0.3824,0.44,0.09326424870466328,4-6 vs. 13-15
323,age4-,age4-,0.8191999999999999,0.88,0.3362831858407083,13-15 vs. 13-15
324,age4-,age4-,1.0,1.0,1.0,13-15 vs. 13-15
325,age4-,age4-,0.8864,0.96,0.6478873239436618,13-15 vs. 13-15
326,age4-,age3-,0.8528,0.92,0.456521739130435,10-12 vs. 13-15
327,age4-,age3-,0.8528,1.0,1.0,10-12 vs. 13-15
328,age4-,age3-,0.95,0.95,0.0,10-12 vs. 13-15
329,age4-,age3-,0.8191999999999999,0.88,0.3362831858407083,10-12 vs. 13-15
330,age4-,age3-,0.85,0.85,0.0,10-12 vs. 13-15
331,age4-,age2-,0.8864,0.88,-0.056338028169013725,7-9 vs. 13-15
332,age4-,age5-,0.92,0.92,0.0,13-15 vs. Adults
333,age4-,age5-,0.8528,1.0,1.0,13-15 vs. Adults
334,age4-,age5-,0.8191999999999999,0.96,0.7787610619469025,13-15 vs. Adults
367,age4-,vgg19-,0.92,0.92,0.0,13-15 vs. DNNs
368,age4-,BiTM_resnetv2_152x2-,0.92,0.92,0.0,13-15 vs. DNNs
375,age4-,ResNeXt101_32x16d_swsl-,0.92,0.92,0.0,13-15 vs. DNNs
380,age4-,resnext101_32x8d-,0.92,0.92,0.0,13-15 vs. DNNs
383,age4-,swag_regnety_128gf_in1k-,0.92,0.92,0.0,13-15 vs. DNNs
